source,milestone,ingest_commit,our_ingest_utc,latency_days_from_mainshock,internal_date,channel,our_ingest_confidence,provider_release,note
microsoft,Microsoft — Catia La Mar (first AOI),e261099,2026-06-26 17:51Z,1.82,,HDX,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),Optical ML footprint damage. Delivered AOI-by-AOI (see later MS rows).
copernicus_ems,CEMS EMSR884 — first delivered damage products,4c9ee7c,2026-06-26 20:10Z,1.92,,CEMS portal,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),REFERENCE STANDARD. Incremental delivery: 10 delivered / 9 pending as of 06-28; consolidated grading ~07-02. Activation timestamp TO CONFIRM.
overture,"Exposure base (release 2026-06-17.0) — PRE-EVENT, not a damage product",5ed390b,2026-06-26 21:04Z,1.96,2026-06-17,provider,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),Baseline building stock; excluded from latency ranking.
microsoft,Microsoft — +La Guaira +Caraballeda AOIs,7da3722,2026-06-27 14:51Z,2.70,,HDX,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),
microsoft,Microsoft — +2 more AOIs (5 total),f26462a,2026-06-28 19:17Z,3.88,,HDX,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),
impact_initiatives,IMPACT v1 — Sentinel-1 SAR damage-proxy RASTER,a0a9652,2026-06-28 20:38Z,3.94,2026-06-25T10:15:31+00:00,email,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),"First SAR signal. S1 acquisitions 2026-06-25 10:15Z & 22:42Z (~12h/~24h post-event). Preliminary hotspot screen, later superseded by v2 vector."
osu,OSU/NASA — Sentinel-1 coherence damage,ee15d2e,2026-06-29 17:38Z,4.81,2026-06-25,provider,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),S1 coherence change; ships an analyzed-area (coverage) polygon.
microsoft,Microsoft — merged/deduplicated (all 5 AOIs),f969fe6,2026-06-29 17:41Z,4.82,,HDX,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),"72,162 dedup buildings; the analysis-ready MS product."
hot_osm,HOT fAIr — AI+crowd damage points (La Guaira),a33abe0,2026-06-29 19:01Z,4.87,,HDX,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),Detected-only: no analysed AOI.
unep_debris,UNEP/OCHA JEU — building-debris mass,4935989,2026-07-01 20:58Z,6.95,,HDX,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),"Debris MASS (tonnes), not a damage grade. Detected-only."
usgs,USGS ShakeMap — MMI contours (seismic CONTEXT),f9030ae,2026-07-01 21:08Z,6.96,2026-06-24T22:05:11+00:00,USGS API,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),"Context/exposure covariate, not a damage product."
impact_initiatives,IMPACT v2 — Sentinel-1 VECTOR damage (supersedes v1),0c6f6f6,2026-07-02 21:04Z,7.96,2026-06-25,email,"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),"81,437 damaged Overture footprints + true swath AOI. The corrected IMPACT product."
disha,"DISHA (UNOPS) — ML damage inference, NW Caracas",35c295b,2026-07-02 21:04Z,7.96,,provider (restricted),"HIGH (git commit; = integration, upper bound on receipt)",TO CONFIRM (<= our_ingest),LICENCE-GATED: no public redistribution/derivative without UNOPS authorization.
